,SAMPLE_NUM,Bateria,Temperatura,Ph,Oxigeno Disuelto,Conductividad,OxRed,Fecha,Nitrato Disuelto,Amonio disuelto
0,-1,95.0,22.78,-1,-1,-1,-1,2021-10-22 11:56:49.404278,0.0,49490.66
1,-1,95.0,22.61,-1,-1,-1,-1,2021-10-22 11:57:02.029985, 0.0,35660.09
2,-1,93.0,22.62,-1,-1,-1,-1,2021-10-22 11:57:14.667341,0.002,29931.129
3,-1,95.0,22.73,-1,-1,-1,-1,2021-10-22 11:57:27.817984,0.005,24434.656
4,-1,91.0,22.76,-1,-1,-1,-1,2021-10-22 11:57:40.459978,0.005,31558.264
5,-1,94.0,22.88,-1,-1,-1,-1,2021-10-22 11:57:53.649699,0.004,26121.822
6,-1,93.0,22.89,-1,-1,-1,-1,2021-10-22 11:58:06.305527,0.004,24527.754
7,-1,93.0,22,95,-1,-1,-1,-1,2021-10-22 11:58:18.937961,0.003,22769.717
8,-1,94.0,23.01,-1,-1,-1,-1,2021-10-22 11:58:32.075276,0.004,18262.783
9,-1,94.0,23.07,-1,-1,-1,-1,2021-10-22 11:58:44.709529, 0.002,16846.867
10,-1,94.0,23.2,-1,-1,-1,-1,2021-10-22 11:58:57.849158,0.003,16783.475
11,-1,94.0,23.21,-1,-1,-1,-1,2021-10-22 11:59:10.495549,0.003,14210.946
12,-1,94.0,23.23,-1,-1,-1,-1,2021-10-22 11:59:23.626845,0.003,11867.842
13,-1,94.0,23.32,-1,-1,-1,-1,2021-10-22 11:59:36.261320,0.003,11749.008
14,-1,94.0,23.37,-1,-1,-1,-1,2021-10-22 11:59:48.895201,0.002,8671.246
15,-1,94.0,23.4,-1,-1,-1,-1,2021-10-22 12:00:02.043737,0.002,7232.268
16,-1,94.0,23.44,-1,-1,-1,-1,2021-10-22 12:00:14.685450,0.002,6946.257
17,-1,94.0,23.47,-1,-1,-1,-1,2021-10-22 12:00:27.827532,0.003,6472.514
18,-1,94.0,23.49,-1,-1,-1,-1,2021-10-22 12:00:40.414129,0.002,6563.538
19,-1,94.0,23.53,-1,-1,-1,-1,2021-10-22 12:00:53.483523,0.003,5771.349
20,-1,94.0,23.51,-1,-1,-1,-1,2021-10-22 12:01:06.080445,0.003,5481.151
21,-1,94.0,23.56,-1,-1,-1,-1,2021-10-22 12:01:19.172210,0.002,4652.742
22,-1,94.0,23.6,-1,-1,-1,-1,2021-10-22 12:01:31.784123,0.003,4276.008
23,-1,94.0,23.65,-1,-1,-1,-1,2021-10-22 12:01:44.934836,0.003,3779.071
24,-1,94.0,23.65,-1,-1,-1,-1,2021-10-22 12:01:57.603674,0.003,3699.044
25,-1,94.0,3.65,-1,-1,-1,-1,2021-10-22 12:02:10.236449,0.003,3167.893
26,-1,93.0,23.7,-1,-1,-1,-1,2021-10-22 12:02:23.371505,0.003,2978.179
27,-1,93.0,23.72,-1,-1,-1,-1,2021-10-22 12:02:36.011839,0.003,2589.456
28,-1,95.0,23.68,-1,-1,-1,-1,2021-10-22 12:02:49.144548,0.003,2563.358
29,-1,93.0,23.72,-1,-1,-1,-1,2021-10-22 12:03:01.772957,0.003,2422.047
