,SAMPLE_NUM,Bateria,Temperatura,Ph,Oxigeno Disuelto,Conductividad,OxRed,Fecha,Nitrato Disuelto,Amonio disuelto
0,-1,93.0,27.31,-1,-1,-1,-1,2021-09-30 11:55:51.374069,0.029,0.036
1,-1,93.0,27.27,-1,-1,-1,-1,2021-09-30 11:56:04.436796,0.032,0.036
2,-1,93.0,27.31,-1,-1,-1,-1,2021-09-30 11:56:17.009072,0.034,0.036
3,-1,93.0,27.34,-1,-1,-1,-1,2021-09-30 11:56:30.071581,0.039,0.037
4,-1,92.0,27.4,-1,-1,-1,-1,2021-09-30 11:56:42.648836,0.05,0.037
5,-1,93.0,27.47,-1,-1,-1,-1,2021-09-30 11:56:55.722270,0.061,0.037
6,-1,92.0,27.5,-1,-1,-1,-1,2021-09-30 11:57:08.300839,0.074,0.038
7,-1,93.0,27.55,-1,-1,-1,-1,2021-09-30 11:57:21.373928,0.095,0.038
8,-1,91.0,27.52,-1,-1,-1,-1,2021-09-30 11:57:34.430259,0.106,0.038
9,-1,92.0,27.59,-1,-1,-1,-1,2021-09-30 11:57:47.007364,0.135,0.039
10,-1,92.0,27.56,-1,-1,-1,-1,2021-09-30 11:58:00.072382,0.155,0.039
11,-1,92.0,27.63,-1,-1,-1,-1,2021-09-30 11:58:12.647065,0.187,0.041
12,-1,92.0,27.56,-1,-1,-1,-1,2021-09-30 11:58:25.725715,0.247,0.042
13,-1,92.0,27.54,-1,-1,-1,-1,2021-09-30 11:58:38.305859,0.34,0.043
14,-1,92.0,27.57,-1,-1,-1,-1,2021-09-30 11:58:51.390621,0.419,0.044
15,-1,92.0,27.59,-1,-1,-1,-1,2021-09-30 11:59:03.969694,0.42,0.046
16,-1,93.0,27.45,-1,-1,-1,-1,2021-09-30 11:59:17.051904,0.719,0.047
17,-1,92.0,27.4,-1,-1,-1,-1,2021-09-30 11:59:30.118521,0.819,0.049
18,-1,92.0,27.38,-1,-1,-1,-1,2021-09-30 11:59:42.700183,1.132,0.05
19,-1,92.0,27.43,-1,-1,-1,-1,2021-09-30 11:59:55.766551,1.279,0.049
